# >> Output from NodeLinkage.pl <<
# >> Input file 1: "Nodes-Similarities_Rmrz89_Exhaust_Nest0.6_Conn0.08_CompConn0.15.long.txt
# >> Input file 2: "Rmrz89_Exhaust_Nest0.6_Conn0.08_CompConn0.15.long.txt
# >> Clustering of nodes with the Average Linkage method
# >> Running at date:  (mm,dd,yy) 8, 19, 2022, and time: 22:21:9,
# >> Silwood Park, Imperial College London, A.P-G.
# 
Step	Similarity	Density	DensityInt	DensityExt	NumNodesA	NumEdgesA	NumNodesB	NumEdgesB	NumNodesAB	NumEdgesAB	NumIntNodesA	NumIntNodesB	NumExtNodesA	NumExtNodesB	NumIntNodesAB	NumExtNodesAB	NumIntEdgesA	NumIntEdgesB	NumExtEdgesA	NumExtEdgesB	NumIntEdgesAB	NumExtEdgesAB	nodeA	nodeB	NcumInt	NcumExt	Ncum
66	0.152051051836702	0.191043056492125	0.0536978009594642	0.137345255532661	4	36	3	34	7	67	3	0	22	24	6	29	2	0	34	34	5	62	An_44	An_18	59	434	493
67	0.142845124282879	0.185905516453469	0.0532019704433497	0.13270354601012	6	56	4	27	10	82	5	0	27	16	6	33	3	0	53	27	4	78	Pl_44	Pl_32	60	433	493
68	0.142625322267395	0.18827198028038	0.0532019704433497	0.13507000983703	1	9	1	5	2	14	0	0	9	5	0	12	0	0	9	5	0	14	Pl_34	Pl_24	60	433	493
69	0.140522768571525	0.183679350124869	0.0534273479506745	0.130252002174195	5	32	4	26	9	54	5	2	18	15	9	25	5	1	27	25	10	44	Pl_39	Pl_29	64	429	493
70	0.137700509720114	0.177460798134477	0.0503303097623584	0.127130488372118	4	28	7	67	11	95	4	6	15	29	10	33	3	5	25	62	8	87	An_30	An_44	64	429	493
71	0.13639240763588	0.173692961033306	0.0487365688177047	0.124956392215602	2	14	5	43	7	56	0	5	12	22	6	27	0	5	14	38	6	50	Pl_34	Pl_13	65	428	493
72	0.134585067970517	0.171967738779828	0.0487365688177047	0.123231169962124	4	44	2	16	6	60	0	0	27	13	0	31	0	0	44	16	0	60	An_12	An_36	65	428	493
73	0.133064561261935	0.16636249772834	0.0499822917672816	0.116380205961058	10	82	2	15	12	93	6	0	33	11	7	36	4	0	78	15	8	85	Pl_44	Pl_46	69	424	493
74	0.131698549264934	0.165884514273549	0.0501964003992401	0.115688113874309	9	166	1	10	10	175	5	0	74	10	6	76	5	0	161	10	6	169	Pl_8	Pl_10	70	423	493
75	0.125389948098018	0.163165800812383	0.0496364690076657	0.113529331804717	9	54	12	93	21	138	9	7	25	36	20	34	10	8	44	85	27	111	Pl_39	Pl_44	79	414	493
76	0.119136093973462	0.161194792720603	0.046956086509839	0.114238706210764	8	63	1	5	9	67	8	0	31	5	9	30	17	0	46	5	18	49	An_28	An_46	80	413	493
77	0.111947307166998	0.152128232257117	0.0465214298885698	0.105606802368548	10	175	5	37	15	201	6	5	76	22	15	75	6	7	169	30	24	177	Pl_8	Pl_33	91	402	493
78	0.108666748306244	0.149013586628827	0.057584331907205	0.0914292547216223	11	95	6	60	17	133	10	0	33	31	16	37	8	0	87	60	30	103	An_30	An_12	113	380	493
79	0.104853329104628	0.148610925564402	0.0575167186550076	0.0910942069093939	1	7	5	46	6	53	0	2	7	28	2	32	0	1	7	45	1	52	An_26	An_11	113	380	493
80	0.10317100716857	0.141762816478105	0.0522070897324447	0.0895557267456602	17	133	9	67	26	183	16	9	37	30	26	30	30	18	103	49	65	118	An_30	An_28	130	363	493
81	0.101706708298913	0.140212239350702	0.0523616343088959	0.0878506050418063	6	53	2	13	8	65	2	0	32	10	4	32	1	0	52	13	2	63	An_26	An_41	131	362	493
82	0.0950937879817895	0.134286740686057	0.0591261792073151	0.0751605614787421	15	201	21	138	36	302	15	20	75	34	36	56	24	27	177	111	88	214	Pl_8	Pl_39	168	325	493
83	0.0918044165259577	0.121363231042989	0.0676011310541796	0.0537620999888093	9	171	26	183	35	321	7	26	75	30	35	58	6	65	165	118	104	217	An_9	An_30	201	292	493
84	0.0840669909288437	0.116540781319887	0.0657015206352994	0.0508392606845877	7	56	2	12	9	67	6	2	27	9	8	31	6	1	50	11	8	59	Pl_34	Pl_40	202	291	493
85	0.0816968938314009	0.117971680967875	0.0818121849113877	0.036159496056487	8	65	35	321	43	338	4	35	32	58	43	50	2	104	63	217	154	184	An_26	An_9	250	243	493
86	0.0806220816423149	0.119098568504499	0.0818121849113877	0.0372863835931109	1	4	1	6	2	10	0	0	4	6	0	9	0	0	4	6	0	10	An_42	An_27	250	243	493
87	0.0756256054813484	0.119516012835318	0.0945866991057801	0.024929313729538	36	302	9	67	45	323	36	8	56	31	45	47	88	8	214	59	142	181	Pl_8	Pl_34	296	197	493
88	0.0678751685521635	0.12042744892685	0.0962048429004417	0.0242226060264087	43	338	1	7	44	339	43	0	50	7	44	49	154	0	184	7	160	179	An_26	An_33	302	191	493
89	0.0579566800131668	0.118974753340893	0.0966272656897932	0.0223474876510998	44	339	2	10	46	341	44	0	49	9	46	47	160	0	179	10	168	173	An_26	An_42	310	183	493
90	0.0421071306944462	0.119476150535496	0.0976629332392627	0.0218132172962329	45	323	1	6	46	324	45	0	47	6	46	46	142	0	181	6	147	177	Pl_8	Pl_38	315	178	493
91	0.039326414572536	0.119649482409037	0.0986660612121974	0.0209834211968401	46	324	1	6	47	325	46	0	46	6	47	46	147	0	177	6	152	173	Pl_8	Pl_26	320	173	493
92	0.00237116104569125	0.115240766713417	0.115240766713417	-1.06293157732875e-16	46	341	47	325	93	493	46	47	47	46	93	0	168	152	173	173	493	0	An_26	Pl_8	493	0	493
